课程ID,课程名称,课程学科,课程年级,版本,难度,周次/期次,课程品类,课程服务类型,场次ID,场次名称,大纲目录名称,主讲老师ID,主讲老师姓名,教资推荐状态,上课,上课日期,上课时间,下课时间,上课日期,上课时间,下课时间
1001,初一数学,数学,初一,人教版,A,1,2,3,3409190,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409191,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409192,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409193,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409194,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409195,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409196,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409197,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409198,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1001,初一数学,数学,初一,人教版,A,1,2,3,3409199,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409200,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409201,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409202,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409203,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409204,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409205,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409206,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409207,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409208,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1002,初一数学,数学,初一,人教版,A,1,2,3,3409209,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409190,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409191,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409192,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409193,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409194,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409195,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409196,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409197,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409198,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1003,初一数学,数学,初一,人教版,A,1,2,3,3409199,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409200,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409201,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409202,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409203,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409204,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409205,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409206,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409207,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409208,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1004,初一数学,数学,初一,人教版,A,1,2,3,3409209,5,6,84055,A老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409190,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409191,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409192,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409193,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409194,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409195,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409196,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409197,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409198,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
1005,初一数学,数学,初一,人教版,A,1,2,3,3409199,5,6,84013,B老师,是,Y,1900/1/11,0:00,0:00,1900/2/13,0:00,0:00
